FIPS,Geographic Identifier,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Block Group,Total Population,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Average Household Size,Median Household Income (In 2019 Inflation Adjusted Dollars),Occupied Housing Units,Occupied Housing Units: 1 Room,Occupied Housing Units: 2 Rooms,Occupied Housing Units: 3 Rooms,Occupied Housing Units: 4 Rooms,Occupied Housing Units: 5 Rooms,Occupied Housing Units: 6 Rooms,Occupied Housing Units: 7 Rooms,Occupied Housing Units: 8 Rooms,Occupied Housing Units: 9 or More Rooms,Median Year Structure Built,Median Gross Rent,Owner-Occupied Housing Units
1.70E+11,15000US170310633031,Block Group 1,"Block Group 1, Census Tract 633.03, Cook County, Illinois",il,150,0,ACSSF,9629,17,31,63303,1,538,0.05887749,0.05887749,0,538,6,6,5,0,4,32,28,21,35,52,61,288,538,507,0,0,25,0,0,6,1.33,52708,403,0,46,138,153,22,16,11,0,17,1968,2402,51
1.70E+11,15000US170310633032,Block Group 2,"Block Group 2, Census Tract 633.03, Cook County, Illinois",il,150,0,ACSSF,9630,17,31,63303,2,705,0.03247119,0.03247119,0,705,5,11,0,0,7,195,95,34,99,153,78,28,705,572,0,0,133,0,0,0,1.4,106771,502,42,84,214,106,50,6,0,0,0,1967,1815,336
1.70E+11,15000US170310634001,Block Group 1,"Block Group 1, Census Tract 634, Cook County, Illinois",il,150,0,ACSSF,9631,17,31,63400,1,1396,0.03963339,0.03963339,0,1396,103,48,32,0,141,668,178,173,26,27,0,0,1396,1214,27,0,107,0,0,48,2.06,119125,677,92,98,70,121,138,61,55,15,27,1965,1633,264
1.70E+11,15000US170310634002,Block Group 2,"Block Group 2, Census Tract 634, Cook County, Illinois",il,150,0,ACSSF,9632,17,31,63400,2,1047,0.02169392,0.02169392,0,1047,72,31,16,0,221,386,166,58,50,38,9,0,1047,913,38,0,70,0,0,26,1.99,92031,527,53,20,128,153,37,23,19,36,58,0,1373,158
1.70E+11,15000US170310701011,Block Group 1,"Block Group 1, Census Tract 701.01, Cook County, Illinois",il,150,0,ACSSF,9633,17,31,70101,1,1411,0.008060269,0.008060269,0,1411,105,89,33,14,68,461,164,121,144,120,74,18,1411,1176,0,15,58,0,17,145,1.75,91414,805,76,162,174,193,86,67,32,0,15,1963,1644,251
1.70E+11,15000US170310701012,Block Group 2,"Block Group 2, Census Tract 701.01, Cook County, Illinois",il,150,0,ACSSF,9634,17,31,70101,2,1064,0.01969777,0.01969777,0,1064,37,33,35,0,158,292,102,52,147,146,42,20,1064,996,0,0,31,0,19,18,1.65,90987,645,46,90,153,151,93,56,16,20,20,1963,1549,330
1.70E+11,15000US170310701013,Block Group 3,"Block Group 3, Census Tract 701.01, Cook County, Illinois",il,150,0,ACSSF,9635,17,31,70101,3,1410,0.4347433,0.177736,0.2570074,1410,39,26,0,0,210,524,126,101,110,139,97,38,1410,1030,91,0,121,0,124,44,1.32,63370,1066,138,380,236,209,67,36,0,0,0,1971,1329,323
1.70E+11,15000US170310701021,Block Group 1,"Block Group 1, Census Tract 701.02, Cook County, Illinois",il,150,0,ACSSF,9636,17,31,70102,1,1418,0.02664182,0.02664182,0,1418,21,16,58,0,278,564,73,77,161,123,26,21,1418,1148,120,0,113,0,20,17,1.48,64420,959,297,155,208,102,39,27,95,4,32,1971,1427,205
1.70E+11,15000US170310701022,Block Group 2,"Block Group 2, Census Tract 701.02, Cook County, Illinois",il,150,0,ACSSF,9637,17,31,70102,2,737,0.01427034,0.01427034,0,737,14,0,0,43,59,368,94,50,78,0,21,10,737,671,23,0,0,16,0,27,1.64,115625,450,45,76,180,60,21,39,8,21,0,0,1750,166
1.70E+11,15000US170310701023,Block Group 3,"Block Group 3, Census Tract 701.02, Cook County, Illinois",il,150,0,ACSSF,9638,17,31,70102,3,763,0.007235941,0.007235941,0,763,25,0,0,0,75,354,84,48,85,48,15,29,763,681,30,0,5,0,19,28,1.28,60781,523,94,165,176,52,11,25,0,0,0,1964,992,144
1.70E+11,15000US170310701031,Block Group 1,"Block Group 1, Census Tract 701.03, Cook County, Illinois",il,150,0,ACSSF,9639,17,31,70103,1,719,0.01370894,0.01370894,0,719,0,0,0,0,125,360,116,22,47,49,0,0,719,608,0,0,83,0,18,10,1.42,70214,506,108,112,189,47,39,0,0,0,11,1969,1410,75
1.70E+11,15000US170310701032,Block Group 2,"Block Group 2, Census Tract 701.03, Cook County, Illinois",il,150,0,ACSSF,9640,17,31,70103,2,917,0.0129684,0.0129684,0,917,61,0,0,0,306,434,30,51,0,12,23,0,917,720,64,0,90,0,25,18,1.27,58958,724,218,216,157,92,33,8,0,0,0,1963,1366,23
1.70E+11,15000US170310702001,Block Group 1,"Block Group 1, Census Tract 702, Cook County, Illinois",il,150,0,ACSSF,9641,17,31,70200,1,1956,0.0625389,0.0625389,0,1956,102,84,81,32,132,750,213,242,94,103,53,70,1956,1704,77,0,128,0,10,37,2.04,109219,884,116,29,216,236,70,154,0,30,33,1961,1444,461
1.70E+11,15000US170310702002,Block Group 2,"Block Group 2, Census Tract 702, Cook County, Illinois",il,150,0,ACSSF,9642,17,31,70200,2,1187,0.04292066,0.04292066,0,1187,61,59,80,14,154,372,63,241,113,0,14,16,1187,1116,49,0,11,0,0,11,2.61,111221,440,54,30,28,73,32,47,16,46,114,0,1431,242
1.70E+11,15000US170310702003,Block Group 3,"Block Group 3, Census Tract 702, Cook County, Illinois",il,150,0,ACSSF,9643,17,31,70200,3,1073,0.02635765,0.02635765,0,1073,36,10,0,0,141,670,165,17,17,17,0,0,1073,857,40,0,56,0,81,39,1.49,77039,721,82,238,280,27,61,19,0,0,14,1962,1452,74
1.70E+11,15000US170310703001,Block Group 1,"Block Group 1, Census Tract 703, Cook County, Illinois",il,150,0,ACSSF,9644,17,31,70300,1,2300,0.07219493,0.07219493,0,2300,116,89,55,43,225,1190,239,156,117,49,9,12,2300,2092,31,0,104,0,0,73,2.29,182292,1005,43,78,256,144,152,132,99,18,83,1994,2206,469
1.70E+11,15000US170310703002,Block Group 2,"Block Group 2, Census Tract 703, Cook County, Illinois",il,150,0,ACSSF,9645,17,31,70300,2,1334,0.05305777,0.05305777,0,1334,32,49,29,31,245,615,89,103,121,20,0,0,1334,1162,0,0,70,0,0,102,1.92,109671,695,63,71,110,188,86,48,56,18,55,1964,1801,251
1.70E+11,15000US170310704001,Block Group 1,"Block Group 1, Census Tract 704, Cook County, Illinois",il,150,0,ACSSF,9646,17,31,70400,1,1193,0.04701257,0.04701257,0,1193,19,9,0,22,132,236,83,131,205,203,124,29,1193,888,177,0,46,0,26,56,1.66,24750,720,237,91,82,98,111,61,9,9,22,1965,344,178
1.70E+11,15000US170310704002,Block Group 2,"Block Group 2, Census Tract 704, Cook County, Illinois",il,150,0,ACSSF,9647,17,31,70400,2,969,0.03913725,0.03913725,0,969,98,42,30,31,163,227,184,47,77,41,29,0,969,758,0,0,174,0,9,28,2.68,204688,362,0,9,40,81,47,56,10,31,88,0,1734,219
1.70E+11,15000US170310704003,Block Group 3,"Block Group 3, Census Tract 704, Cook County, Illinois",il,150,0,ACSSF,9648,17,31,70400,3,989,0.03908976,0.03908976,0,989,59,20,41,42,57,380,111,144,51,84,0,0,989,944,0,0,34,0,0,11,2.13,211042,464,0,9,43,121,130,19,26,6,110,1962,1883,282
1.70E+11,15000US170310705001,Block Group 1,"Block Group 1, Census Tract 705, Cook County, Illinois",il,150,0,ACSSF,9649,17,31,70500,1,992,0.04419403,0.04419403,0,992,46,27,21,25,124,262,173,141,110,63,0,0,992,929,49,0,14,0,0,0,2.13,154050,465,9,29,38,131,86,71,42,19,40,1967,1744,246
1.70E+11,15000US170310705002,Block Group 2,"Block Group 2, Census Tract 705, Cook County, Illinois",il,150,0,ACSSF,9650,17,31,70500,2,1147,0.03632719,0.03632719,0,1147,29,83,63,0,39,163,153,117,152,83,189,76,1147,930,145,0,56,0,0,16,2.27,71750,394,104,18,57,14,74,22,61,23,21,0,1218,219
1.70E+11,15000US170310705003,Block Group 3,"Block Group 3, Census Tract 705, Cook County, Illinois",il,150,0,ACSSF,9651,17,31,70500,3,1319,0.03740056,0.03740056,0,1319,123,54,38,32,203,439,208,128,48,41,5,0,1319,1083,43,0,119,0,0,74,3,192976,440,0,9,21,54,119,72,30,70,65,1992,2194,320
1.70E+11,15000US170310706001,Block Group 1,"Block Group 1, Census Tract 706, Cook County, Illinois",il,150,0,ACSSF,9652,17,31,70600,1,1910,0.07791658,0.07791658,0,1910,195,120,90,73,275,277,288,278,213,63,38,0,1910,1668,0,0,185,0,39,18,2.78,179816,687,11,0,26,164,139,120,115,38,74,1986,1783,500
1.70E+11,15000US170310706002,Block Group 2,"Block Group 2, Census Tract 706, Cook County, Illinois",il,150,0,ACSSF,9653,17,31,70600,2,1386,0.0545767,0.0545767,0,1386,146,78,109,45,40,509,199,132,111,8,0,9,1386,1326,11,0,30,0,0,19,2.53,150078,547,9,19,100,130,30,73,24,38,124,1993,1750,339
1.70E+11,15000US170310707001,Block Group 1,"Block Group 1, Census Tract 707, Cook County, Illinois",il,150,0,ACSSF,9654,17,31,70700,1,2580,0.1182206,0.1182206,0,2580,298,161,107,22,130,803,543,299,158,49,0,10,2580,2002,235,0,284,0,0,59,2.57,156581,1003,26,31,161,112,216,86,135,79,157,1995,2258,685
1.70E+11,15000US170310707002,Block Group 2,"Block Group 2, Census Tract 707, Cook County, Illinois",il,150,0,ACSSF,9655,17,31,70700,2,1611,0.1466937,0.1466937,0,1611,97,58,107,24,170,628,180,157,28,139,23,0,1611,1007,438,7,68,0,53,38,2.52,83472,639,12,26,95,193,241,32,21,0,19,1942,1054,149
1.70E+11,15000US170310710001,Block Group 1,"Block Group 1, Census Tract 710, Cook County, Illinois",il,150,0,ACSSF,9656,17,31,71000,1,2766,0.06269296,0.06269296,0,2766,11,10,37,54,2222,283,70,20,34,21,4,0,2766,2132,223,8,272,0,29,102,2.83,142625,199,0,0,14,57,58,9,8,27,26,0,2117,63
1.70E+11,15000US170310710002,Block Group 2,"Block Group 2, Census Tract 710, Cook County, Illinois",il,150,0,ACSSF,9657,17,31,71000,2,1868,0.06265049,0.06265049,0,1868,87,86,47,18,223,849,94,145,164,104,19,32,1868,1688,93,0,60,0,0,27,2.29,148542,814,0,35,59,256,194,84,72,17,97,0,2066,422
1.70E+11,15000US170310711001,Block Group 1,"Block Group 1, Census Tract 711, Cook County, Illinois",il,150,0,ACSSF,9658,17,31,71100,1,1868,0.07366791,0.07366791,0,1868,134,100,76,64,485,384,252,153,83,75,26,36,1868,1479,17,0,188,0,45,139,2.63,189250,564,39,12,29,72,49,153,41,21,148,0,1809,359
1.70E+11,15000US170310711002,Block Group 2,"Block Group 2, Census Tract 711, Cook County, Illinois",il,150,0,ACSSF,9659,17,31,71100,2,1526,0.05199252,0.05199252,0,1526,28,27,20,0,542,553,57,97,113,67,22,0,1526,1215,39,0,200,0,30,42,2.58,148611,554,36,28,47,86,92,82,55,79,49,0,2195,195
1.70E+11,15000US170310712001,Block Group 1,"Block Group 1, Census Tract 712, Cook County, Illinois",il,150,0,ACSSF,9660,17,31,71200,1,1030,0.04720176,0.04720176,0,1030,73,63,35,3,173,278,137,70,68,39,23,68,1030,787,146,0,21,0,57,19,2.52,116875,408,11,6,69,38,94,100,32,23,35,0,1739,219
1.70E+11,15000US170310712002,Block Group 2,"Block Group 2, Census Tract 712, Cook County, Illinois",il,150,0,ACSSF,9661,17,31,71200,2,926,0.07835867,0.07835867,0,926,33,53,19,26,46,321,70,105,120,80,53,0,926,754,16,0,139,0,0,17,1.81,113214,512,0,65,164,90,65,5,40,16,67,1958,,270
1.70E+11,15000US170310713001,Block Group 1,"Block Group 1, Census Tract 713, Cook County, Illinois",il,150,0,ACSSF,9662,17,31,71300,1,2316,0.0567547,0.0567547,0,2316,53,165,243,63,403,403,386,301,112,161,13,13,2316,1923,0,0,254,0,82,57,2.45,152134,944,10,78,215,51,147,117,57,99,170,1963,1865,543
1.70E+11,15000US170310713002,Block Group 2,"Block Group 2, Census Tract 713, Cook County, Illinois",il,150,0,ACSSF,9663,17,31,71300,2,1992,0.06277558,0.06277558,0,1992,83,36,26,12,302,653,157,111,355,160,97,0,1992,1522,45,0,343,0,0,82,1.96,102946,1007,141,73,180,229,132,80,40,40,92,1947,1450,433
1.70E+11,15000US170310714001,Block Group 1,"Block Group 1, Census Tract 714, Cook County, Illinois",il,150,0,ACSSF,9664,17,31,71400,1,931,0.01848271,0.01848271,0,931,86,12,30,5,228,273,163,66,5,43,20,0,931,805,28,0,16,0,0,82,2.15,102602,428,110,0,66,55,97,38,30,13,19,0,1587,116
1.70E+11,15000US170310714002,Block Group 2,"Block Group 2, Census Tract 714, Cook County, Illinois",il,150,0,ACSSF,9665,17,31,71400,2,2018,0.4448217,0.1809977,0.263824,2018,19,60,22,0,119,586,332,199,312,263,86,20,2018,1666,208,0,121,0,0,23,1.57,124643,1112,73,133,250,406,115,64,55,0,16,1970,1628,568
1.70E+11,15000US170310714003,Block Group 3,"Block Group 3, Census Tract 714, Cook County, Illinois",il,150,0,ACSSF,9666,17,31,71400,3,1408,0.01614062,0.01614062,0,1408,16,0,0,0,253,479,229,148,194,56,33,0,1408,1201,46,0,54,0,58,49,1.59,105455,886,129,113,253,154,105,84,14,0,34,0,1770,328
1.70E+11,15000US170310714004,Block Group 4,"Block Group 4, Census Tract 714, Cook County, Illinois",il,150,0,ACSSF,9667,17,31,71400,4,739,0.03170594,0.03170594,0,739,27,40,20,30,25,226,146,71,74,80,0,0,739,562,0,0,83,0,24,70,1.74,134236,425,15,105,86,75,20,24,20,23,57,1953,1695,295
1.70E+11,15000US170310715001,Block Group 1,"Block Group 1, Census Tract 715, Cook County, Illinois",il,150,0,ACSSF,9668,17,31,71500,1,1102,0.02530938,0.02530938,0,1102,15,13,48,0,63,550,130,138,28,117,0,0,1102,943,0,0,92,0,0,67,1.53,93021,721,121,80,234,110,86,30,44,16,0,1971,1421,245
1.70E+11,15000US170310715002,Block Group 2,"Block Group 2, Census Tract 715, Cook County, Illinois",il,150,0,ACSSF,9669,17,31,71500,2,1174,0.01004599,0.01004599,0,1174,0,0,0,0,0,701,122,137,87,127,0,0,1174,1090,15,0,57,0,0,12,1.33,108198,886,176,137,330,193,29,0,21,0,0,1980,2001,123
1.70E+11,15000US170310715003,Block Group 3,"Block Group 3, Census Tract 715, Cook County, Illinois",il,150,0,ACSSF,9670,17,31,71500,3,1563,0.5211993,0.2420224,0.279177,1563,29,26,176,49,200,567,193,143,61,63,41,15,1563,1324,50,0,97,0,79,13,1.81,90417,865,115,138,296,149,33,0,33,66,35,1963,1504,228
1.70E+11,15000US170310715004,Block Group 4,"Block Group 4, Census Tract 715, Cook County, Illinois",il,150,0,ACSSF,9671,17,31,71500,4,966,0.04025231,0.04025231,0,966,93,17,49,71,41,201,155,156,78,69,21,15,966,726,66,0,140,0,0,34,2.1,,459,13,16,120,90,79,44,17,32,48,0,1793,225
1.70E+11,15000US170310715005,Block Group 5,"Block Group 5, Census Tract 715, Cook County, Illinois",il,150,0,ACSSF,9672,17,31,71500,5,582,0.01624834,0.01624834,0,582,0,0,15,14,0,201,101,99,62,37,32,21,582,507,0,0,75,0,0,0,1.24,97708,469,29,105,205,113,0,0,0,17,0,1975,1925,288
1.70E+11,15000US170310715006,Block Group 6,"Block Group 6, Census Tract 715, Cook County, Illinois",il,150,0,ACSSF,9673,17,31,71500,6,800,0.01189967,0.01189967,0,800,32,53,0,0,0,391,135,32,87,47,23,0,800,786,0,0,14,0,0,0,1.82,121895,439,27,44,181,71,69,27,0,20,0,1970,1977,160
1.70E+11,15000US170310716001,Block Group 1,"Block Group 1, Census Tract 716, Cook County, Illinois",il,150,0,ACSSF,9674,17,31,71600,1,1914,0.06260068,0.06260068,0,1914,164,137,133,52,104,375,218,239,180,193,116,3,1914,1469,217,0,171,0,0,57,2.55,147031,752,7,25,172,106,115,84,87,51,105,1972,1505,461
1.70E+11,15000US170310717001,Block Group 1,"Block Group 1, Census Tract 717, Cook County, Illinois",il,150,0,ACSSF,9675,17,31,71700,1,782,0.03111096,0.03111096,0,782,16,74,67,7,93,139,145,85,85,23,36,12,782,571,100,0,51,0,41,19,2.48,164375,315,0,0,26,65,55,90,40,12,27,0,2875,191
1.70E+11,15000US170310717002,Block Group 2,"Block Group 2, Census Tract 717, Cook County, Illinois",il,150,0,ACSSF,9676,17,31,71700,2,888,0.03064493,0.03064493,0,888,35,53,40,16,41,214,87,128,127,79,59,9,888,693,49,0,109,0,5,32,2.55,188636,344,0,0,43,85,57,76,21,15,47,1957,2066,207
1.70E+11,15000US170310718001,Block Group 1,"Block Group 1, Census Tract 718, Cook County, Illinois",il,150,0,ACSSF,9677,17,31,71800,1,1998,0.0939263,0.0939263,0,1998,209,78,130,33,141,411,216,291,243,162,65,19,1998,1400,312,0,266,0,0,20,2.53,123056,790,0,27,121,138,88,114,64,91,147,1979,1522,499
1.70E+11,15000US170310718002,Block Group 2,"Block Group 2, Census Tract 718, Cook County, Illinois",il,150,0,ACSSF,9678,17,31,71800,2,615,0.03092678,0.03092678,0,615,45,37,17,28,20,195,118,77,78,0,0,0,615,549,0,0,39,0,0,27,2.22,154583,277,0,0,26,17,106,61,18,21,28,1952,2087,166
1.70E+11,15000US170310801001,Block Group 1,"Block Group 1, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9679,17,31,80100,1,523,0.009105061,0.009105061,0,523,0,0,0,0,82,186,0,64,126,65,0,0,523,476,0,0,21,0,26,0,1.57,111806,334,95,61,36,22,33,0,19,0,68,0,1481,173
1.70E+11,15000US170310801002,Block Group 2,"Block Group 2, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9680,17,31,80100,2,1062,0.01473289,0.01473289,0,1062,0,0,33,0,0,238,62,71,242,173,204,39,1062,981,0,47,34,0,0,0,1.42,100417,749,77,15,119,237,142,36,53,28,42,1961,1331,481
1.70E+11,15000US170310801003,Block Group 3,"Block Group 3, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9681,17,31,80100,3,1310,0.007243663,0.007243663,0,1310,64,0,29,56,48,899,98,71,29,16,0,0,1310,894,119,0,269,0,0,28,1.62,91920,811,181,73,433,53,0,71,0,0,0,1956,1860,43
1.70E+11,15000US170310801004,Block Group 4,"Block Group 4, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9682,17,31,80100,4,937,0.02478699,0.02478699,0,937,0,19,38,20,0,20,38,124,125,369,163,21,937,743,0,0,0,0,0,194,2.04,179500,460,0,27,49,60,73,48,105,40,58,1971,,388
1.70E+11,15000US170310801005,Block Group 5,"Block Group 5, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9683,17,31,80100,5,1628,0.03108316,0.03108316,0,1628,42,43,84,69,101,396,88,178,435,113,79,0,1628,1240,48,0,160,0,0,180,1.96,198269,830,0,164,159,226,69,64,80,31,37,0,1739,461
1.70E+11,15000US170310801006,Block Group 6,"Block Group 6, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9684,17,31,80100,6,817,0.008811237,0.008811237,0,817,33,30,30,21,0,222,79,140,0,188,74,0,817,787,30,0,0,0,0,0,1.63,128203,501,0,45,180,106,29,42,31,40,28,1964,1827,234
1.70E+11,15000US170310801007,Block Group 7,"Block Group 7, Census Tract 801, Cook County, Illinois",il,150,0,ACSSF,9685,17,31,80100,7,464,0.006854472,0.006854472,0,464,0,0,0,0,20,40,31,40,151,149,0,33,464,464,0,0,0,0,0,0,1.67,150900,278,67,0,15,33,66,52,20,25,0,1971,1924,217
1.70E+11,15000US170310802011,Block Group 1,"Block Group 1, Census Tract 802.01, Cook County, Illinois",il,150,0,ACSSF,9686,17,31,80201,1,1306,0.02264567,0.02264567,0,1306,0,0,23,22,31,526,161,99,103,235,51,55,1306,1019,57,0,165,0,0,65,1.3,95724,1003,159,215,434,91,20,17,14,0,53,1965,1545,514
1.70E+11,15000US170310802012,Block Group 2,"Block Group 2, Census Tract 802.01, Cook County, Illinois",il,150,0,ACSSF,9687,17,31,80201,2,1239,0.02177462,0.02177462,0,1239,0,0,0,0,76,433,108,146,104,289,45,38,1239,1100,42,0,78,0,19,0,1.39,89925,890,19,152,376,180,129,17,17,0,0,1967,1709,507
1.70E+11,15000US170310802013,Block Group 3,"Block Group 3, Census Tract 802.01, Cook County, Illinois",il,150,0,ACSSF,9688,17,31,80201,3,615,0.007819727,0.007819727,0,615,17,15,0,0,20,128,93,40,91,122,34,55,615,492,86,0,37,0,0,0,1.95,110724,315,0,18,20,74,165,38,0,0,0,1972,2049,224
1.70E+11,15000US170310802021,Block Group 1,"Block Group 1, Census Tract 802.02, Cook County, Illinois",il,150,0,ACSSF,9689,17,31,80202,1,621,0.01529737,0.01529737,0,621,41,0,0,0,64,239,90,46,77,47,17,0,621,549,8,0,64,0,0,0,1.73,98580,359,42,52,144,27,22,41,31,0,0,1968,1819,161
1.70E+11,15000US170310802022,Block Group 2,"Block Group 2, Census Tract 802.02, Cook County, Illinois",il,150,0,ACSSF,9690,17,31,80202,2,1204,0.02181091,0.02181091,0,1204,58,0,0,0,86,362,200,106,120,160,81,31,1204,1126,48,0,30,0,0,0,1.42,84696,849,118,187,280,82,14,59,64,17,28,1965,1440,545
1.70E+11,15000US170310802023,Block Group 3,"Block Group 3, Census Tract 802.02, Cook County, Illinois",il,150,0,ACSSF,9691,17,31,80202,3,1514,0.02286458,0.02286458,0,1514,18,17,0,0,187,602,181,52,257,126,43,31,1514,1373,55,0,53,0,33,0,1.41,86484,1073,250,146,177,190,141,104,17,33,15,1971,1429,503
1.70E+11,15000US170310803001,Block Group 1,"Block Group 1, Census Tract 803, Cook County, Illinois",il,150,0,ACSSF,9692,17,31,80300,1,835,0.03246154,0.03246154,0,835,22,12,45,32,11,415,139,96,51,0,12,0,835,739,0,0,74,0,0,22,1.74,139856,481,199,31,81,64,19,13,13,32,29,1972,1896,217
1.70E+11,15000US170310803002,Block Group 2,"Block Group 2, Census Tract 803, Cook County, Illinois",il,150,0,ACSSF,9693,17,31,80300,2,2158,0.04028706,0.04028706,0,2158,170,107,33,0,158,893,345,197,192,63,0,0,2158,1765,174,0,219,0,0,0,1.72,123433,1253,112,193,380,340,136,32,46,0,14,2000,2194,659
1.70E+11,15000US170310803003,Block Group 3,"Block Group 3, Census Tract 803, Cook County, Illinois",il,150,0,ACSSF,9694,17,31,80300,3,987,0.03608974,0.03608974,0,987,34,72,15,0,86,384,194,97,52,37,16,0,987,756,0,0,167,0,16,48,1.96,149113,504,0,29,150,120,72,43,0,31,59,2000,2301,315
1.70E+11,15000US170310803004,Block Group 4,"Block Group 4, Census Tract 803, Cook County, Illinois",il,150,0,ACSSF,9695,17,31,80300,4,931,0.03073296,0.03073296,0,931,0,0,0,0,13,500,133,88,55,84,58,0,931,901,0,0,15,0,15,0,1.46,143750,638,15,112,115,102,60,58,88,0,88,1974,1944,426
1.70E+11,15000US170310804001,Block Group 1,"Block Group 1, Census Tract 804, Cook County, Illinois",il,150,0,ACSSF,9696,17,31,80400,1,2832,0.03965038,0.03965038,0,2832,463,250,100,103,468,596,267,87,247,195,56,0,2832,732,2041,3,0,0,0,56,2.55,39449,1097,78,11,312,366,209,60,22,23,16,1979,580,301
1.70E+11,15000US170310804002,Block Group 2,"Block Group 2, Census Tract 804, Cook County, Illinois",il,150,0,ACSSF,9697,17,31,80400,2,553,0.03954883,0.03954883,0,553,60,13,0,12,35,166,69,18,124,56,0,0,553,0,465,0,26,0,0,62,1.6,,346,90,17,22,17,129,71,0,0,0,1975,944,0
1.70E+11,15000US170310804003,Block Group 3,"Block Group 3, Census Tract 804, Cook County, Illinois",il,150,0,ACSSF,9698,17,31,80400,3,946,0.04718864,0.04718864,0,946,34,48,36,25,67,411,197,117,11,0,0,0,946,719,11,0,81,0,22,113,2.2,188676,430,0,0,93,66,110,35,48,56,22,1999,2391,293
1.70E+11,15000US170310810001,Block Group 1,"Block Group 1, Census Tract 810, Cook County, Illinois",il,150,0,ACSSF,9699,17,31,81000,1,346,0.0105097,0.0105097,0,346,0,0,0,0,0,164,55,60,67,0,0,0,346,313,0,0,33,0,0,0,1.25,68606,277,60,26,29,74,62,26,0,0,0,1986,1810,163
1.70E+11,15000US170310810002,Block Group 2,"Block Group 2, Census Tract 810, Cook County, Illinois",il,150,0,ACSSF,9700,17,31,81000,2,1581,0.03474534,0.03474534,0,1581,35,0,0,0,89,664,218,157,57,239,93,29,1581,1060,34,0,386,0,36,65,1.61,141003,983,110,144,438,125,30,43,27,0,66,1986,1840,275
1.70E+11,15000US170310810003,Block Group 3,"Block Group 3, Census Tract 810, Cook County, Illinois",il,150,0,ACSSF,9701,17,31,81000,3,804,0.01385489,0.01385489,0,804,0,0,0,0,71,379,67,92,27,50,47,71,804,506,135,0,157,0,6,0,1.11,66250,535,235,60,152,88,0,0,0,0,0,1956,1164,88
1.70E+11,15000US170310810004,Block Group 4,"Block Group 4, Census Tract 810, Cook County, Illinois",il,150,0,ACSSF,9702,17,31,81000,4,1491,0.008212008,0.008212008,0,1491,29,30,0,86,71,524,62,198,136,223,79,53,1491,815,345,0,311,0,20,0,1.29,34732,1152,410,188,377,92,0,0,85,0,0,1978,1123,116
1.70E+11,15000US170310810005,Block Group 5,"Block Group 5, Census Tract 810, Cook County, Illinois",il,150,0,ACSSF,9703,17,31,81000,5,2567,0.03645886,0.03645886,0,2567,0,0,31,39,1129,785,0,201,53,253,76,0,2567,1992,259,0,200,0,10,106,1.27,80241,902,51,512,253,27,0,28,0,0,31,1985,1920,0
1.70E+11,15000US170310810006,Block Group 6,"Block Group 6, Census Tract 810, Cook County, Illinois",il,150,0,ACSSF,9704,17,31,81000,6,1415,0.01159696,0.01159696,0,1415,0,0,0,0,32,515,129,31,336,126,203,43,1415,836,407,0,147,0,25,0,1.57,37037,902,296,174,238,129,0,24,41,0,0,1951,1184,42
1.70E+11,15000US170310811001,Block Group 1,"Block Group 1, Census Tract 811, Cook County, Illinois",il,150,0,ACSSF,9705,17,31,81100,1,1241,0.01910897,0.01910897,0,1241,0,0,0,0,112,359,190,178,55,226,119,2,1241,1197,27,0,17,0,0,0,1.46,131250,839,64,59,314,208,65,80,33,16,0,1980,2152,516
1.70E+11,15000US170310811002,Block Group 2,"Block Group 2, Census Tract 811, Cook County, Illinois",il,150,0,ACSSF,9706,17,31,81100,2,1351,0.0101151,0.0101151,0,1351,94,17,17,0,201,550,102,154,200,16,0,0,1351,679,342,0,176,0,42,112,1.51,,897,414,129,97,150,45,62,0,0,0,1943,1596,73
1.70E+11,15000US170310811003,Block Group 3,"Block Group 3, Census Tract 811, Cook County, Illinois",il,150,0,ACSSF,9707,17,31,81100,3,1608,0.01029348,0.01029348,0,1608,86,0,0,0,216,625,342,104,70,92,73,0,1608,1368,30,0,143,0,0,67,1.54,78675,1046,274,198,353,144,43,21,13,0,0,1971,1782,79
