FIPS,Geographic Identifier,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Block Group,Total Population,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Average Household Size,Median Household Income (In 2019 Inflation Adjusted Dollars),Occupied Housing Units,Occupied Housing Units: 1 Room,Occupied Housing Units: 2 Rooms,Occupied Housing Units: 3 Rooms,Occupied Housing Units: 4 Rooms,Occupied Housing Units: 5 Rooms,Occupied Housing Units: 6 Rooms,Occupied Housing Units: 7 Rooms,Occupied Housing Units: 8 Rooms,Occupied Housing Units: 9 or More Rooms,Median Year Structure Built,Median Gross Rent,Owner-Occupied Housing Units
1.70E+11,15000US170310105011,Block Group 1,"Block Group 1, Census Tract 105.01, Cook County, Illinois",il,150,0,ACSSF,9351,17,31,10501,1,935,0.01747691,0.01747691,0,935,0,50,0,0,152,172,279,207,46,29,0,0,935,469,195,0,90,0,181,0,1.81,43516,509,43,26,122,112,66,46,41,53,0,0,973,91
1.70E+11,15000US170310105012,Block Group 2,"Block Group 2, Census Tract 105.01, Cook County, Illinois",il,150,0,ACSSF,9352,17,31,10501,2,1998,0.02878816,0.02878816,0,1998,228,87,0,22,122,799,297,163,146,134,0,0,1998,708,1080,0,139,0,50,21,1.83,47615,1086,16,55,410,439,42,53,56,15,0,1946,1069,91
1.70E+11,15000US170310105013,Block Group 3,"Block Group 3, Census Tract 105.01, Cook County, Illinois",il,150,0,ACSSF,9353,17,31,10501,3,1169,0.03178586,0.03178586,0,1169,21,0,25,53,34,324,95,246,101,34,138,98,1169,860,113,0,27,0,49,120,1.5,22484,779,137,129,219,157,19,60,19,15,24,1964,956,139
1.70E+11,15000US170310105021,Block Group 1,"Block Group 1, Census Tract 105.02, Cook County, Illinois",il,150,0,ACSSF,9354,17,31,10502,1,1124,0.03471213,0.03471213,0,1124,99,67,21,10,204,310,152,148,60,35,9,9,1124,582,378,10,74,0,40,40,2.09,45278,510,20,25,170,140,70,51,17,9,8,1949,1137,141
1.70E+11,15000US170310105022,Block Group 2,"Block Group 2, Census Tract 105.02, Cook County, Illinois",il,150,0,ACSSF,9355,17,31,10502,2,1965,0.03492796,0.03492796,0,1965,66,62,119,29,487,368,344,255,122,89,8,16,1965,1146,498,0,188,0,80,53,1.85,35795,1062,263,139,285,181,82,49,26,37,0,1941,984,198
1.70E+11,15000US170310105031,Block Group 1,"Block Group 1, Census Tract 105.03, Cook County, Illinois",il,150,0,ACSSF,9356,17,31,10503,1,1254,0.04250908,0.04250908,0,1254,28,76,0,0,319,129,65,64,56,319,135,63,1254,826,151,0,209,0,0,68,1.81,16479,690,230,99,81,66,50,47,78,7,32,1954,333,112
1.70E+11,15000US170310105032,Block Group 2,"Block Group 2, Census Tract 105.03, Cook County, Illinois",il,150,0,ACSSF,9357,17,31,10503,2,552,0.03250092,0.03250092,0,552,42,0,0,0,103,136,24,85,82,72,8,0,552,424,104,0,16,0,8,0,1.49,26964,369,103,44,69,35,75,30,6,0,7,1943,848,77
1.70E+11,15000US170310106001,Block Group 1,"Block Group 1, Census Tract 106, Cook County, Illinois",il,150,0,ACSSF,9358,17,31,10600,1,1722,0.06263774,0.06263774,0,1722,139,130,0,81,73,466,292,297,157,87,0,0,1722,941,300,0,73,0,351,57,2.12,65568,812,0,43,91,347,160,46,37,29,59,1951,1001,298
1.70E+11,15000US170310106002,Block Group 2,"Block Group 2, Census Tract 106, Cook County, Illinois",il,150,0,ACSSF,9359,17,31,10600,2,508,0.03719052,0.03719052,0,508,19,0,0,0,14,96,25,120,160,26,16,32,508,319,153,0,17,0,0,19,1.53,77829,235,57,37,0,0,14,79,0,23,25,0,775,141
1.70E+11,15000US170310106003,Block Group 3,"Block Group 3, Census Tract 106, Cook County, Illinois",il,150,0,ACSSF,9360,17,31,10600,3,2770,0.0475257,0.0475257,0,2770,72,181,198,108,737,354,436,380,124,142,16,22,2770,1675,552,0,32,0,442,69,2.47,35179,1110,186,114,67,196,136,315,96,0,0,0,1117,179
1.70E+11,15000US170310106004,Block Group 4,"Block Group 4, Census Tract 106, Cook County, Illinois",il,150,0,ACSSF,9361,17,31,10600,4,1395,0.04374962,0.04374962,0,1395,42,0,0,0,127,595,183,118,209,52,69,0,1395,974,134,0,82,0,147,58,1.8,39481,776,159,35,237,137,208,0,0,0,0,1952,1207,29
1.70E+11,15000US170310107011,Block Group 1,"Block Group 1, Census Tract 107.01, Cook County, Illinois",il,150,0,ACSSF,9362,17,31,10701,1,1381,0.06954936,0.06954936,0,1381,94,97,35,33,64,407,159,198,150,75,56,13,1381,874,360,0,128,0,11,8,2.31,47105,598,46,49,39,140,91,130,39,53,11,1944,995,193
1.70E+11,15000US170310107012,Block Group 2,"Block Group 2, Census Tract 107.01, Cook County, Illinois",il,150,0,ACSSF,9363,17,31,10701,2,2239,0.09635103,0.09635103,0,2239,175,229,39,55,103,423,423,275,313,122,82,0,2239,1191,489,0,182,0,225,152,2.45,68947,914,0,0,146,248,217,89,92,38,84,0,1194,531
1.70E+11,15000US170310107021,Block Group 1,"Block Group 1, Census Tract 107.02, Cook County, Illinois",il,150,0,ACSSF,9364,17,31,10702,1,2114,0.04542106,0.04542106,0,2114,119,143,240,184,291,298,270,317,229,0,23,0,2114,1079,849,0,76,0,57,53,2.85,47965,742,21,57,165,225,95,125,47,0,7,1945,1034,161
1.70E+11,15000US170310107022,Block Group 2,"Block Group 2, Census Tract 107.02, Cook County, Illinois",il,150,0,ACSSF,9365,17,31,10702,2,817,0.03068238,0.03068238,0,817,0,111,43,55,44,243,109,112,80,20,0,0,817,613,147,0,11,0,35,11,2.09,42371,357,41,18,100,92,77,29,0,0,0,1941,956,80
1.70E+11,15000US170310107023,Block Group 3,"Block Group 3, Census Tract 107.02, Cook County, Illinois",il,150,0,ACSSF,9366,17,31,10702,3,1474,0.03811717,0.03811717,0,1474,146,112,71,13,206,348,310,146,102,10,10,0,1474,781,413,0,207,0,28,45,2.26,48116,653,109,11,123,168,179,18,34,0,11,1945,1154,166
1.70E+11,15000US170310107024,Block Group 4,"Block Group 4, Census Tract 107.02, Cook County, Illinois",il,150,0,ACSSF,9367,17,31,10702,4,677,0.02382907,0.02382907,0,677,28,74,30,22,44,94,103,227,24,0,0,31,677,276,190,0,67,0,144,0,2.05,37457,331,28,11,27,150,92,7,0,16,0,1950,1066,73
1.70E+11,15000US170310201001,Block Group 1,"Block Group 1, Census Tract 201, Cook County, Illinois",il,150,0,ACSSF,9368,17,31,20100,1,2202,0.08806991,0.08806991,0,2202,201,70,117,100,130,398,288,307,282,146,136,27,2202,1016,595,0,97,0,402,92,2.69,61483,820,40,0,124,307,150,74,47,24,54,1954,1106,280
1.70E+11,15000US170310201002,Block Group 2,"Block Group 2, Census Tract 201, Cook County, Illinois",il,150,0,ACSSF,9369,17,31,20100,2,1416,0.0707401,0.0707401,0,1416,18,45,40,94,157,176,286,192,214,121,73,0,1416,495,647,0,84,0,110,80,1.99,38214,684,11,17,107,260,139,72,29,12,37,1943,1149,382
1.70E+11,15000US170310202001,Block Group 1,"Block Group 1, Census Tract 202, Cook County, Illinois",il,150,0,ACSSF,9370,17,31,20200,1,1601,0.1191048,0.1191048,0,1601,284,107,102,78,81,194,180,174,242,146,13,0,1601,1417,14,0,109,0,0,61,3.24,137250,494,0,0,0,11,56,88,47,95,197,1950,,482
1.70E+11,15000US170310202002,Block Group 2,"Block Group 2, Census Tract 202, Cook County, Illinois",il,150,0,ACSSF,9371,17,31,20200,2,1592,0.1141341,0.1141341,0,1592,174,64,203,117,93,184,242,240,101,144,13,17,1592,827,204,0,164,0,390,7,3.23,37679,455,0,0,84,143,83,19,70,38,18,1952,1118,160
1.70E+11,15000US170310202003,Block Group 3,"Block Group 3, Census Tract 202, Cook County, Illinois",il,150,0,ACSSF,9372,17,31,20200,3,1971,0.1172928,0.1172928,0,1971,133,185,211,173,89,135,140,441,184,87,105,88,1971,958,20,0,560,0,282,151,3.86,95000,510,0,0,0,53,145,73,91,37,111,1954,,501
1.70E+11,15000US170310202004,Block Group 4,"Block Group 4, Census Tract 202, Cook County, Illinois",il,150,0,ACSSF,9373,17,31,20200,4,1676,0.1289917,0.1289917,0,1676,49,98,113,31,162,281,175,327,144,196,77,23,1676,666,473,0,447,0,0,90,2.75,107625,610,0,0,123,0,160,96,82,108,41,1956,963,456
1.70E+11,15000US170310203011,Block Group 1,"Block Group 1, Census Tract 203.01, Cook County, Illinois",il,150,0,ACSSF,9374,17,31,20301,1,1591,0.07679959,0.07679959,0,1591,50,103,22,17,20,138,169,146,236,294,253,143,1591,1299,84,0,92,0,58,58,1.75,56417,909,0,64,301,131,215,159,17,9,13,1967,315,784
1.70E+11,15000US170310203012,Block Group 2,"Block Group 2, Census Tract 203.01, Cook County, Illinois",il,150,0,ACSSF,9375,17,31,20301,2,1602,0.1201813,0.1201813,0,1602,215,175,50,61,97,222,84,204,67,103,182,142,1602,1164,10,11,417,0,0,0,2.65,41250,604,8,18,151,112,104,92,36,24,59,1967,,355
1.70E+11,15000US170310203013,Block Group 3,"Block Group 3, Census Tract 203.01, Cook County, Illinois",il,150,0,ACSSF,9376,17,31,20301,3,2191,0.1217631,0.1217631,0,2191,330,233,293,145,107,352,254,144,120,160,52,1,2191,1874,102,0,87,0,39,89,3.77,82813,580,0,0,27,124,96,77,68,44,144,1942,1010,389
1.70E+11,15000US170310203021,Block Group 1,"Block Group 1, Census Tract 203.02, Cook County, Illinois",il,150,0,ACSSF,9377,17,31,20302,1,1600,0.0458284,0.0458284,0,1600,319,111,67,18,31,333,91,200,198,102,38,92,1600,1119,286,0,115,0,18,62,3.14,,470,0,0,45,82,126,168,20,29,0,1956,1520,274
1.70E+11,15000US170310203022,Block Group 2,"Block Group 2, Census Tract 203.02, Cook County, Illinois",il,150,0,ACSSF,9378,17,31,20302,2,1176,0.05422033,0.05422033,0,1176,109,140,28,54,134,42,234,193,140,67,28,7,1176,462,105,75,360,0,156,18,3.03,101489,388,0,7,6,20,98,114,30,100,13,0,1359,249
1.70E+11,15000US170310203023,Block Group 3,"Block Group 3, Census Tract 203.02, Cook County, Illinois",il,150,0,ACSSF,9379,17,31,20302,3,2361,0.1470262,0.1470262,0,2361,164,158,130,87,49,234,454,288,329,253,75,140,2361,1838,132,0,202,0,17,172,2.42,74597,868,87,34,109,124,203,84,99,38,90,0,1032,515
1.70E+11,15000US170310204001,Block Group 1,"Block Group 1, Census Tract 204, Cook County, Illinois",il,150,0,ACSSF,9380,17,31,20400,1,917,0.06057789,0.06057789,0,917,54,48,41,12,42,54,143,166,171,114,40,32,917,657,22,0,120,0,17,101,2.51,80441,366,7,0,22,62,150,32,34,19,40,0,1255,204
1.70E+11,15000US170310204002,Block Group 2,"Block Group 2, Census Tract 204, Cook County, Illinois",il,150,0,ACSSF,9381,17,31,20400,2,1157,0.08202972,0.08202972,0,1157,40,123,59,15,34,216,138,175,159,128,42,28,1157,698,105,0,270,0,40,44,2.26,65917,509,9,0,140,41,89,62,73,50,45,1959,1211,367
1.70E+11,15000US170310204003,Block Group 3,"Block Group 3, Census Tract 204, Cook County, Illinois",il,150,0,ACSSF,9382,17,31,20400,3,2184,0.07183895,0.07183895,0,2184,204,80,284,109,85,406,353,280,162,141,63,17,2184,970,865,0,249,0,50,50,2.72,64467,800,0,12,101,192,236,152,45,43,19,1949,1167,353
1.70E+11,15000US170310205001,Block Group 1,"Block Group 1, Census Tract 205, Cook County, Illinois",il,150,0,ACSSF,9383,17,31,20500,1,2783,0.05337283,0.05337283,0,2783,260,292,159,29,151,579,504,212,262,173,127,35,2783,966,443,0,1180,0,58,136,3.22,46386,823,14,27,104,226,299,104,34,15,0,1949,1138,120
1.70E+11,15000US170310205002,Block Group 2,"Block Group 2, Census Tract 205, Cook County, Illinois",il,150,0,ACSSF,9384,17,31,20500,2,1629,0.02552792,0.02552792,0,1629,247,67,73,61,196,489,110,267,88,31,0,0,1629,474,156,0,338,0,425,236,3.33,63438,489,15,0,19,196,79,162,18,0,0,0,1163,145
