,GEOID,avg_reading_all,max_reading_all,sample_cnt,hh_size,med_income,occ_units,med_rent,oo_hsng_un,perc_white,perc_non_w,perc_black,perc_owner,tot_pop,"('PIN', 'count')","('Prior Tax Year Market Value Estimate (Land)', 'mean')","('Prior Tax Year Market Value Estimate (Land)', 'median')","('Prior Tax Year Market Value Estimate (Building)', 'mean')","('Prior Tax Year Market Value Estimate (Building)', 'median')","('Land Square Feet', 'mean')","('Land Square Feet', 'median')","('Building Square Feet', 'mean')","('Building Square Feet', 'median')","('Age', 'mean')","('Age', 'median')",Property Class_200.0,Property Class_201.0,Property Class_202.0,Property Class_203.0,Property Class_204.0,Property Class_205.0,Property Class_206.0,Property Class_207.0,Property Class_208.0,Property Class_209.0,Property Class_210.0,Property Class_211.0,Property Class_212.0,Property Class_234.0,Property Class_241.0,Property Class_278.0,Property Class_295.0,Property Class_299.0,Wall Material_1.0,Wall Material_2.0,Wall Material_3.0,Wall Material_4.0,Wall Material_nan,Roof Material_1.0,Roof Material_2.0,Roof Material_3.0,Roof Material_4.0,Roof Material_5.0,Roof Material_6.0,Roof Material_nan,Repair Condition_1.0,Repair Condition_2.0,Repair Condition_3.0,Repair Condition_nan,Renovation_1.0,Renovation_2.0,Renovation_nan,threshold_high,threshold_medium
0,170310101001,2.1333333333333337,2.6,7.0,1.95,,236.0,873.0,117.0,0.574837310195228,0.425162689804772,0.234273318872017,0.495762711864407,461.0,247.0,37161.25506072875,14120.0,165053.64372469636,171860.0,32474.95951417004,9860.0,3244.918367346939,2110.0,51.22672064777328,64.0,0.0,0.0,0.0,0.020242914979757,0.0121457489878542,0.0526315789473684,0.0323886639676113,0.0,0.0,0.0,0.0161943319838056,0.0607287449392712,0.0,0.0040485829959514,0.0040485829959514,0.0,0.0,0.7975708502024291,0.0040485829959514,0.1093117408906882,0.0,0.0850202429149797,0.8016194331983806,0.1538461538461538,0.0364372469635627,0.0,0.0,0.0080971659919028,0.0,0.8016194331983806,0.0040485829959514,0.1902834008097166,0.0040485829959514,0.8016194331983806,0.0,0.0,1.0,0,0
1,170310101002,,,0.0,2.26,21827.0,1054.0,799.0,53.0,0.307755775577558,0.692244224422442,0.636551155115512,0.050284629981025,2424.0,148.0,28536.08108108108,17080.0,151666.62162162163,101180.0,9868.878378378378,6246.0,4527.851851851852,4797.0,93.6891891891892,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.1486486486486486,0.0067567567567567,0.0,0.0,0.0,0.0,0.8175675675675675,0.0,0.1756756756756756,0.0067567567567567,0.0,0.8175675675675675,0.054054054054054,0.1216216216216216,0.0,0.0,0.0067567567567567,0.0,0.8175675675675675,0.0,0.1756756756756756,0.0067567567567567,0.8175675675675675,0.0,0.0,1.0,0,0
2,170310101003,1.1933333333333331,1.58,10.0,1.5,54297.0,1073.0,1071.0,327.0,0.663360560093349,0.336639439906651,0.249124854142357,0.30475302889096,1714.0,477.0,16814.54926624738,10540.0,130144.48637316562,121130.0,18124.79035639413,14913.0,3361.833333333333,1494.0,78.14046121593292,98.0,0.0,0.0,0.0,0.0020964360587002,0.0020964360587002,0.010482180293501,0.0,0.0,0.0,0.0,0.0083857442348008,0.0251572327044025,0.0020964360587002,0.0,0.0,0.0,0.0251572327044025,0.9245283018867924,0.0041928721174004,0.0272536687631027,0.0398322851153039,0.0041928721174004,0.9245283018867924,0.0545073375262054,0.020964360587002,0.0,0.0,0.0,0.0,0.9245283018867924,0.0062893081761006,0.0691823899371069,0.0,0.9245283018867924,0.0020964360587002,0.0,0.9979035639412998,0,0
3,170310102011,2.7944444444444443,4.016666666666667,12.0,2.3,42778.0,712.0,1097.0,224.0,0.280773739742087,0.719226260257913,0.436694021101993,0.314606741573034,1706.0,283.0,28919.39929328622,17030.0,164135.6890459364,129920.0,7054.893992932863,6000.0,2308.084905660377,1641.0,70.29328621908127,64.0,0.0,0.0,0.0035335689045936,0.0530035335689045,0.0141342756183745,0.03886925795053,0.0106007067137809,0.0,0.0,0.0,0.0,0.0954063604240282,0.0,0.0,0.0141342756183745,0.0,0.1590106007067137,0.6113074204946997,0.0954063604240282,0.1236749116607773,0.1130742049469964,0.0424028268551236,0.6254416961130742,0.2084805653710247,0.166077738515901,0.0,0.0,0.0,0.0,0.6254416961130742,0.0,0.3710247349823322,0.0035335689045936,0.6254416961130742,0.0,0.0,1.0,0,0
4,170310102012,1.7166666666666668,2.533333333333333,18.0,2.69,39535.0,1424.0,1152.0,353.0,0.542929936305732,0.457070063694268,0.300636942675159,0.247893258426966,3925.0,739.0,25685.236806495264,17070.0,122439.94587280108,99730.0,13236.21650879567,9334.0,2936.3821656050955,2542.0,72.48308525033829,65.0,0.0,0.0013531799729364,0.0040595399188092,0.0216508795669824,0.0054127198917456,0.0027063599458728,0.0027063599458728,0.0,0.0,0.0,0.020297699594046,0.1312584573748308,0.0027063599458728,0.0,0.0013531799729364,0.0,0.0216508795669824,0.7848443843031123,0.0162381596752368,0.189445196211096,0.0054127198917456,0.0013531799729364,0.7875507442489851,0.0554803788903924,0.148849797023004,0.0013531799729364,0.0,0.0040595399188092,0.0027063599458728,0.7875507442489851,0.0,0.2110960757780784,0.0013531799729364,0.7875507442489851,0.0,0.0,1.0,0,0
5,170310102013,2.0128205128205128,2.784615384615385,13.0,2.99,52948.0,611.0,1023.0,114.0,0.465460526315789,0.534539473684211,0.326206140350877,0.18657937806874,1824.0,327.0,25976.788990825688,8570.0,153490.15290519877,112020.0,8450.584097859328,6989.0,2083.01,1805.5,89.2874617737003,92.0,0.0,0.0030581039755351,0.0,0.0275229357798165,0.0122324159021406,0.1070336391437308,0.0061162079510703,0.0,0.0,0.0,0.018348623853211,0.1314984709480122,0.0,0.0,0.0152905198776758,0.0030581039755351,0.0,0.6758409785932722,0.1896024464831804,0.073394495412844,0.0122324159021406,0.0305810397553516,0.6941896024464832,0.2446483180428134,0.0519877675840978,0.0,0.0,0.0,0.0091743119266055,0.6941896024464832,0.0,0.3058103975535168,0.0,0.6941896024464832,0.0,0.0,1.0,0,0
6,170310102021,2.388888888888889,3.116666666666667,6.0,2.03,25962.0,516.0,956.0,142.0,0.530268199233716,0.469731800766284,0.294252873563218,0.275193798449612,1305.0,160.0,26935.375,9940.0,174740.75,142610.0,10635.6125,10639.0,2851.25,2221.0,82.7125,91.0,0.0,0.00625,0.0,0.0,0.0125,0.04375,0.04375,0.0,0.0,0.0,0.0,0.05625,0.00625,0.0,0.00625,0.0,0.0375,0.7875,0.0375,0.125,0.0125,0.025,0.8,0.1125,0.08125,0.0,0.0,0.00625,0.0,0.8,0.0125,0.1875,0.0,0.8,0.00625,0.0,0.99375,0,0
7,170310102022,2.4787878787878794,3.472727272727272,11.0,2.47,47024.0,620.0,1032.0,117.0,0.414204902576996,0.585795097423004,0.375864236329353,0.188709677419355,1591.0,288.0,32335.243055555555,13190.0,157098.29861111112,109840.0,11214.336805555557,7514.0,2455.8658536585367,2055.5,69.0,55.0,0.0,0.0,0.0,0.0069444444444444,0.0034722222222222,0.0729166666666666,0.0659722222222222,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0034722222222222,0.0,0.0798611111111111,0.7118055555555556,0.0243055555555555,0.1875,0.0277777777777777,0.0451388888888888,0.7152777777777778,0.2222222222222222,0.0416666666666666,0.0069444444444444,0.0,0.0138888888888888,0.0,0.7152777777777778,0.0069444444444444,0.2743055555555556,0.0034722222222222,0.7152777777777778,0.0034722222222222,0.0,0.9965277777777778,0,0
8,170310103001,1.94,2.2600000000000002,5.0,1.55,42500.0,490.0,1235.0,252.0,0.751068376068376,0.248931623931624,0.204059829059829,0.514285714285714,936.0,307.0,22473.061889250814,11640.0,148632.9315960912,83450.0,22067.065146579804,21832.0,3115.6176470588234,2220.0,82.9413680781759,91.0,0.0,0.0,0.0,0.0,0.0,0.019543973941368,0.0358306188925081,0.0,0.0,0.0,0.0,0.022801302931596,0.0,0.0,0.003257328990228,0.0,0.0325732899022801,0.8859934853420195,0.0,0.0586319218241042,0.0325732899022801,0.019543973941368,0.8892508143322475,0.0586319218241042,0.0488599348534201,0.0,0.0,0.003257328990228,0.0,0.8892508143322475,0.0,0.1107491856677524,0.0,0.8892508143322475,0.003257328990228,0.0,0.996742671009772,0,0
9,170310103002,1.574074074074074,2.3333333333333335,9.0,2.02,51133.0,997.0,953.0,321.0,0.43628423977769,0.56371576022231,0.497816593886463,0.321965897693079,2519.0,434.0,26364.30875576037,16830.0,152823.52534562213,130345.0,16770.603686635946,15000.0,2534.1875,1690.0,64.10599078341014,55.0,0.0,0.0115207373271889,0.0,0.0023041474654377,0.0023041474654377,0.0299539170506912,0.0345622119815668,0.0,0.0,0.0023041474654377,0.0115207373271889,0.0276497695852534,0.0023041474654377,0.0,0.0,0.0,0.0714285714285714,0.804147465437788,0.0046082949308755,0.1267281105990783,0.0092165898617511,0.0437788018433179,0.815668202764977,0.1198156682027649,0.0576036866359447,0.0,0.0,0.0046082949308755,0.0023041474654377,0.815668202764977,0.0,0.1774193548387097,0.0069124423963133,0.815668202764977,0.0069124423963133,0.0,0.9930875576036866,0,0
