	GEOID	hh_size	med_income	occ_units	med_rent	oo_hsng_units	perc_white	perc_non_white	perc_black	perc_owner_occ	tot_pop	('PIN', 'count')	('Prior Tax Year Market Value Estimate (Land)', 'mean')	('Prior Tax Year Market Value Estimate (Land)', 'median')	('Prior Tax Year Market Value Estimate (Building)', 'mean')	('Prior Tax Year Market Value Estimate (Building)', 'median')	('Land Square Feet', 'mean')	('Land Square Feet', 'median')	('Building Square Feet', 'mean')	('Building Square Feet', 'median')	('Age', 'mean')	('Age', 'median')	Property Class_200.0	Property Class_201.0	Property Class_202.0	Property Class_203.0	Property Class_204.0	Property Class_205.0	Property Class_206.0	Property Class_207.0	Property Class_208.0	Property Class_209.0	Property Class_210.0	Property Class_211.0	Property Class_212.0	Property Class_234.0	Property Class_241.0	Property Class_278.0	Property Class_295.0	Property Class_299.0	Wall Material_1.0	Wall Material_2.0	Wall Material_3.0	Wall Material_4.0	Wall Material_nan	Roof Material_1.0	Roof Material_2.0	Roof Material_3.0	Roof Material_4.0	Roof Material_5.0	Roof Material_6.0	Roof Material_nan	Repair Condition_1.0	Repair Condition_2.0	Repair Condition_3.0	Repair Condition_nan	Renovation_1.0	Renovation_2.0	Renovation_nan
0	170310101001	1.95		236	873.0	117	0.5748373101952278	0.42516268980477223	0.23427331887201736	0.4957627118644068	461	247	37161.25506072875	14120.0	165053.64372469636	171860.0	32474.95951417004	9860.0	3244.918367346939	2110.0	51.22672064777328	64.0	0.0	0.0	0.0	0.020242914979757085	0.012145748987854251	0.05263157894736842	0.032388663967611336	0.0	0.0	0.0	0.016194331983805668	0.06072874493927125	0.0	0.004048582995951417	0.004048582995951417	0.0	0.0	0.7975708502024291	0.004048582995951417	0.10931174089068826	0.0	0.08502024291497975	0.8016194331983806	0.15384615384615385	0.03643724696356275	0.0	0.0	0.008097165991902834	0.0	0.8016194331983806	0.004048582995951417	0.1902834008097166	0.004048582995951417	0.8016194331983806	0.0	0.0	1.0
1	170310101002	2.26	21827.0	1054	799.0	53	0.30775577557755773	0.6922442244224423	0.6365511551155115	0.05028462998102467	2424	148	28536.08108108108	17080.0	151666.62162162163	101180.0	9868.878378378378	6246.0	4527.851851851852	4797.0	93.6891891891892	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.14864864864864866	0.006756756756756757	0.0	0.0	0.0	0.0	0.8175675675675675	0.0	0.17567567567567569	0.006756756756756757	0.0	0.8175675675675675	0.05405405405405406	0.12162162162162163	0.0	0.0	0.006756756756756757	0.0	0.8175675675675675	0.0	0.17567567567567569	0.006756756756756757	0.8175675675675675	0.0	0.0	1.0
2	170310101003	1.5	54297.0	1073	1071.0	327	0.6633605600933489	0.33663943990665113	0.24912485414235705	0.3047530288909599	1714	477	16814.54926624738	10540.0	130144.48637316562	121130.0	18124.79035639413	14913.0	3361.8333333333335	1494.0	78.14046121593292	98.0	0.0	0.0	0.0	0.0020964360587002098	0.0020964360587002098	0.010482180293501049	0.0	0.0	0.0	0.0	0.008385744234800839	0.025157232704402517	0.0020964360587002098	0.0	0.0	0.0	0.025157232704402517	0.9245283018867925	0.0041928721174004195	0.027253668763102725	0.039832285115303984	0.0041928721174004195	0.9245283018867925	0.05450733752620545	0.020964360587002098	0.0	0.0	0.0	0.0	0.9245283018867925	0.006289308176100629	0.06918238993710692	0.0	0.9245283018867925	0.0020964360587002098	0.0	0.9979035639412998
3	170310102011	2.3	42778.0	712	1097.0	224	0.28077373974208675	0.7192262602579133	0.43669402110199296	0.3146067415730337	1706	283	28919.39929328622	17030.0	164135.6890459364	129920.0	7054.893992932863	6000.0	2308.0849056603774	1641.0	70.29328621908127	64.0	0.0	0.0	0.0035335689045936395	0.053003533568904596	0.014134275618374558	0.038869257950530034	0.01060070671378092	0.0	0.0	0.0	0.0	0.09540636042402827	0.0	0.0	0.014134275618374558	0.0	0.15901060070671377	0.6113074204946997	0.09540636042402827	0.12367491166077739	0.11307420494699646	0.04240282685512368	0.6254416961130742	0.20848056537102475	0.16607773851590105	0.0	0.0	0.0	0.0	0.6254416961130742	0.0	0.3710247349823322	0.0035335689045936395	0.6254416961130742	0.0	0.0	1.0
4	170310102012	2.69	39535.0	1424	1152.0	353	0.5429299363057325	0.4570700636942675	0.3006369426751592	0.2478932584269663	3925	739	25685.236806495264	17070.0	122439.94587280108	99730.0	13236.21650879567	9334.0	2936.3821656050955	2542.0	72.48308525033829	65.0	0.0	0.0013531799729364006	0.0040595399188092015	0.02165087956698241	0.005412719891745603	0.0027063599458728013	0.0027063599458728013	0.0	0.0	0.0	0.02029769959404601	0.13125845737483086	0.0027063599458728013	0.0	0.0013531799729364006	0.0	0.02165087956698241	0.7848443843031123	0.016238159675236806	0.18944519621109607	0.005412719891745603	0.0013531799729364006	0.7875507442489851	0.05548037889039242	0.14884979702300405	0.0013531799729364006	0.0	0.0040595399188092015	0.0027063599458728013	0.7875507442489851	0.0	0.21109607577807848	0.0013531799729364006	0.7875507442489851	0.0	0.0	1.0
5	170310102013	2.99	52948.0	611	1023.0	114	0.4654605263157895	0.5345394736842105	0.3262061403508772	0.18657937806873978	1824	327	25976.788990825688	8570.0	153490.15290519877	112020.0	8450.584097859328	6989.0	2083.01	1805.5	89.2874617737003	92.0	0.0	0.0030581039755351682	0.0	0.027522935779816515	0.012232415902140673	0.10703363914373089	0.0061162079510703364	0.0	0.0	0.0	0.01834862385321101	0.13149847094801223	0.0	0.0	0.01529051987767584	0.0030581039755351682	0.0	0.6758409785932722	0.18960244648318042	0.07339449541284404	0.012232415902140673	0.03058103975535168	0.6941896024464832	0.24464831804281345	0.05198776758409786	0.0	0.0	0.0	0.009174311926605505	0.6941896024464832	0.0	0.3058103975535168	0.0	0.6941896024464832	0.0	0.0	1.0
6	170310102021	2.03	25962.0	516	956.0	142	0.5302681992337165	0.4697318007662835	0.2942528735632184	0.2751937984496124	1305	160	26935.375	9940.0	174740.75	142610.0	10635.6125	10639.0	2851.25	2221.0	82.7125	91.0	0.0	0.00625	0.0	0.0	0.0125	0.04375	0.04375	0.0	0.0	0.0	0.0	0.05625	0.00625	0.0	0.00625	0.0	0.0375	0.7875	0.0375	0.125	0.0125	0.025	0.8	0.1125	0.08125	0.0	0.0	0.00625	0.0	0.8	0.0125	0.1875	0.0	0.8	0.00625	0.0	0.99375
7	170310102022	2.47	47024.0	620	1032.0	117	0.4142049025769956	0.5857950974230044	0.3758642363293526	0.18870967741935485	1591	288	32335.243055555555	13190.0	157098.29861111112	109840.0	11214.336805555555	7514.0	2455.8658536585367	2055.5	69.0	55.0	0.0	0.0	0.0	0.006944444444444444	0.003472222222222222	0.07291666666666667	0.06597222222222222	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.003472222222222222	0.0	0.0798611111111111	0.7118055555555556	0.024305555555555556	0.1875	0.027777777777777776	0.04513888888888889	0.7152777777777778	0.2222222222222222	0.041666666666666664	0.006944444444444444	0.0	0.013888888888888888	0.0	0.7152777777777778	0.006944444444444444	0.2743055555555556	0.003472222222222222	0.7152777777777778	0.003472222222222222	0.0	0.9965277777777778
8	170310103001	1.55	42500.0	490	1235.0	252	0.7510683760683761	0.24893162393162394	0.20405982905982906	0.5142857142857142	936	307	22473.061889250814	11640.0	148632.9315960912	83450.0	22067.065146579804	21832.0	3115.6176470588234	2220.0	82.9413680781759	91.0	0.0	0.0	0.0	0.0	0.0	0.019543973941368076	0.035830618892508145	0.0	0.0	0.0	0.0	0.02280130293159609	0.0	0.0	0.003257328990228013	0.0	0.03257328990228013	0.8859934853420195	0.0	0.05863192182410423	0.03257328990228013	0.019543973941368076	0.8892508143322475	0.05863192182410423	0.048859934853420196	0.0	0.0	0.003257328990228013	0.0	0.8892508143322475	0.0	0.11074918566775244	0.0	0.8892508143322475	0.003257328990228013	0.0	0.996742671009772
9	170310103002	2.02	51133.0	997	953.0	321	0.43628423977768954	0.5637157602223104	0.4978165938864629	0.32196589769307926	2519	434	26364.30875576037	16830.0	152823.52534562213	130345.0	16770.603686635946	15000.0	2534.1875	1690.0	64.10599078341014	55.0	0.0	0.01152073732718894	0.0	0.002304147465437788	0.002304147465437788	0.029953917050691243	0.03456221198156682	0.0	0.0	0.002304147465437788	0.01152073732718894	0.027649769585253458	0.002304147465437788	0.0	0.0	0.0	0.07142857142857142	0.804147465437788	0.004608294930875576	0.12672811059907835	0.009216589861751152	0.04377880184331797	0.815668202764977	0.11981566820276497	0.0576036866359447	0.0	0.0	0.004608294930875576	0.002304147465437788	0.815668202764977	0.0	0.1774193548387097	0.0069124423963133645	0.815668202764977	0.0069124423963133645	0.0	0.9930875576036866
